"TEAM","GP","W","L","WIN%","3PM","3PA","3P%","+/-"
"Golden State Warriors",82,67,15,0.817,10.8,27,39.8,10.1
"Atlanta Hawks",82,60,22,0.732,10,26.2,38,5.4
"Houston Rockets",82,56,26,0.683,11.4,32.7,34.8,3.4
"LA Clippers",82,56,26,0.683,10.1,26.9,37.6,6.6
"Memphis Grizzlies",82,55,27,0.671,5.2,15.2,33.9,3.2
"San Antonio Spurs",82,55,27,0.671,8.3,22.5,36.7,6.2
"Cleveland Cavaliers",82,53,29,0.646,10.1,27.5,36.7,4.5
"Portland Trail Blazers",82,51,31,0.622,9.8,27.2,36.2,4.2
"Chicago Bulls",82,50,32,0.61,7.9,22.3,35.3,3
"Dallas Mavericks",82,50,32,0.61,8.9,25.4,35.2,2.9
"Toronto Raptors",82,49,33,0.598,8.9,25.1,35.2,3.1
"Washington Wizards",82,46,36,0.561,6.1,16.8,36,0.7
"New Orleans Pelicans",82,45,37,0.549,7.1,19.3,37,0.8
"Oklahoma City Thunder",82,45,37,0.549,7.7,22.7,33.9,2.2
"Milwaukee Bucks",82,41,41,0.5,6.6,18.3,36.3,0.4
"Boston Celtics",82,40,42,0.488,8,24.6,32.7,0.2
"Phoenix Suns",82,39,43,0.476,8.5,25,34.1,-0.9
"Brooklyn Nets",82,38,44,0.463,6.6,19.9,33.1,-2.9
"Indiana Pacers",82,38,44,0.463,7.5,21.2,35.2,0.3
"Utah Jazz",82,38,44,0.463,7.4,21.7,34.3,0.2
"Miami Heat",82,37,45,0.451,6.8,20.2,33.5,-2.6
"Charlotte Hornets",82,33,49,0.402,6.1,19.1,31.8,-3.2
"Detroit Pistons",82,32,50,0.39,8.6,24.9,34.4,-1
"Denver Nuggets",82,30,52,0.366,8,24.8,32.5,-3.5
"Sacramento Kings",82,29,53,0.354,5.6,16.5,34.1,-3.7
"Orlando Magic",82,25,57,0.305,6.8,19.5,34.7,-5.7
"Los Angeles Lakers",82,21,61,0.256,6.5,18.9,34.4,-6.8
"Philadelphia 76ers",82,18,64,0.22,8.4,26.3,32,-9
"New York Knicks",82,17,65,0.207,6.8,19.7,34.7,-9.3
"Minnesota Timberwolves",82,16,66,0.195,5,14.9,33.2,-8.8
"Golden State Warriors",82,73,9,0.89,13.1,31.6,41.6,10.8
"San Antonio Spurs",82,67,15,0.817,7,18.5,37.5,10.6
